fips,state,state2,region,cendiv,county,votes,bush,logdens,minority,colled
1001,Alabama,AL,South,E South Central,"Autauga, AL",20060,75.832504,1.865104,19.300003,14.5
1003,Alabama,AL,South,E South Central,"Baldwin, AL",68860,76.837059,1.9444827,12.900002,16.799999
1005,Alabama,AL,South,E South Central,"Barbour, AL",10745,54.844112,1.5158738,48.700001,11.8
1007,Alabama,AL,South,E South Central,"Bibb, AL",7572,72.253036,1.5237465,23.300003,4.6999998
1009,Alabama,AL,South,E South Central,"Blount, AL",21388,81.185715,1.8976271,4.9000015,7
1011,Alabama,AL,South,E South Central,"Bullock, AL",4707,31.739962,1.2718416,74.699997,10
1013,Alabama,AL,South,E South Central,"Butler, AL",8400,59.261906,1.4393327,41.599998,8
1015,Alabama,AL,South,E South Central,"Calhoun, AL",45064,66.141487,2.2659965,21.099998,14.2
1017,Alabama,AL,South,E South Central,"Chambers, AL",13006,58.572968,1.7874604,39.099998,8.8999996
1019,Alabama,AL,South,E South Central,"Cherokee, AL",8998,65.781288,1.6374898,7.1999969,6.6999998
1021,Alabama,AL,South,E South Central,"Chilton, AL",16643,77.053413,1.7558749,13.300003,7.5
1023,Alabama,AL,South,E South Central,"Choctaw, AL",7193,54.066452,1.2405492,44.900002,8.5
1025,Alabama,AL,South,E South Central,"Clarke, AL",11375,59.156044,1.3521825,44.099998,10.8
1027,Alabama,AL,South,E South Central,"Clay, AL",6553,70.532578,1.372912,17.400002,7.3000002
1029,Alabama,AL,South,E South Central,"Cleburne, AL",5773,75.558632,1.4014006,5.3000031,6.5
1031,Alabama,AL,South,E South Central,"Coffee, AL",17560,74.088837,1.8075351,22.900002,16.5
1033,Alabama,AL,South,E South Central,"Colbert, AL",23853,55.250912,1.9661417,18.5,11.5
1035,Alabama,AL,South,E South Central,"Conecuh, AL",5998,54.451485,1.2201082,44.599998,6.4000001
1037,Alabama,AL,South,E South Central,"Coosa, AL",4965,58.449142,1.2718416,36.099998,6.3000002
1039,Alabama,AL,South,E South Central,"Covington, AL",14567,76.254547,1.5611014,13.800003,9.1000004
1041,Alabama,AL,South,E South Central,"Crenshaw, AL",5489,68.755692,1.350248,26.199997,8.3999996
1043,Alabama,AL,South,E South Central,"Cullman, AL",34960,76.610413,2.0207756,3.1999969,7.8000002
1045,Alabama,AL,South,E South Central,"Dale, AL",18168,74.933952,1.942504,25.599998,13.5
1047,Alabama,AL,South,E South Central,"Dallas, AL",18491,39.576012,1.6748612,64.400002,12.2
1049,Alabama,AL,South,E South Central,"De Kalb, AL",24092,70.151917,1.9180304,7.4000015,7.0999999
1051,Alabama,AL,South,E South Central,"Elmore, AL",28547,77.149963,2.0253057,23,12.8
1053,Alabama,AL,South,E South Central,"Escambia, AL",12341,68.884209,1.608526,35.599998,7.5999999
1055,Alabama,AL,South,E South Central,"Etowah, AL",42478,63.496399,2.2864563,17.099998,10.2
1057,Alabama,AL,South,E South Central,"Fayette, AL",7969,69.418999,1.469822,13.099998,8.5
1059,Alabama,AL,South,E South Central,"Franklin, AL",12249,62.764309,1.6910815,10.300003,6.9000001
1061,Alabama,AL,South,E South Central,"Geneva, AL",10456,79.609795,1.6503075,12.900002,6.8000002
1063,Alabama,AL,South,E South Central,"Greene, AL",4733,20.240862,1.1875207,80.900002,10.4
1065,Alabama,AL,South,E South Central,"Hale, AL",7915,41.415035,1.4265113,60.200001,8.8999996
1067,Alabama,AL,South,E South Central,"Henry, AL",7306,66.506981,1.4623981,34.300003,8.1999998
1069,Alabama,AL,South,E South Central,"Houston, AL",36100,74.42659,2.1846914,26.900002,15
1071,Alabama,AL,South,E South Central,"Jackson, AL",20217,56.917446,1.69897,8.0999985,8
1073,Alabama,AL,South,E South Central,"Jefferson, AL",291648,54.347706,2.7745171,41.900002,19.9
1075,Alabama,AL,South,E South Central,"Lamar, AL",6855,71.393143,1.4199557,13.099998,6.1999998
1077,Alabama,AL,South,E South Central,"Lauderdale, AL",36893,59.965305,2.1185954,11.599998,16.4
